PhotoID,Order,Condition,GroupPair,StartStruc,Session,Generation,Story,ID,Pillar
111.3.2.3,111,3,Pair,Simple,2,3,3,2,3
111.3.2.3,111,3,Pair,Simple,2,3,3,3,3
3.3.2.5,3,3,Pair,Simple,2,5,3,1,3
3.3.2.5,3,3,Pair,Simple,2,5,3,3,3
2.3.2.6,2,3,Pair,Simple,2,6,4,1,4
2.3.2.6,2,3,Pair,Simple,2,6,4,3,4
36.4.4.1,36,4,Pair,Complex,4,1,1,1,11
36.4.4.1,36,4,Pair,Complex,4,1,1,3,11
99.4.4.2,99,4,Pair,Complex,4,2,3,1,3
99.4.4.2,99,4,Pair,Complex,4,2,3,2,3
120.4.4.4,120,4,Pair,Complex,4,4,4,2,4
120.4.4.4,120,4,Pair,Complex,4,4,4,3,4
68.4.4.5,68,4,Pair,Complex,4,5,4,1,4
68.4.4.5,68,4,Pair,Complex,4,5,4,2,5
92.3.5.1,92,3,Pair,Simple,5,1,3,1,3
92.3.5.1,92,3,Pair,Simple,5,1,3,2,3
59.3.5.2,59,3,Pair,Simple,5,2,3,1,3
59.3.5.2,59,3,Pair,Simple,5,2,3,2,3
86.3.5.3,86,3,Pair,Simple,5,3,4,1,4
86.3.5.3,86,3,Pair,Simple,5,3,4,2,4
62.3.5.6,62,3,Pair,Simple,5,6,4,1,4
62.3.5.6,62,3,Pair,Simple,5,6,4,2,4
14.2.6.1,14,2,Group,Complex,6,1,2,1,19
14.2.6.1,14,2,Group,Complex,6,1,2,3,19
13.2.6.3,13,2,Group,Complex,6,3,2,1,2
13.2.6.3,13,2,Group,Complex,6,3,2,3,2
46.2.6.4,46,2,Group,Complex,6,4,3,1,3
46.2.6.4,46,2,Group,Complex,6,4,3,3,3
139.2.6.6,139,2,Group,Complex,6,6,4,2,4
139.2.6.6,139,2,Group,Complex,6,6,4,3,4
39.2.7.1,39,2,Group,Complex,7,1,2,1,21
39.2.7.1,39,2,Group,Complex,7,1,2,3,21
126.2.7.2,126,2,Group,Complex,7,2,2,2,24
126.2.7.2,126,2,Group,Complex,7,2,2,3,16
108.2.7.3,108,2,Group,Complex,7,3,1,2,9
108.2.7.3,108,2,Group,Complex,7,3,1,3,9
25.2.7.4,25,2,Group,Complex,7,4,2,1,10
25.2.7.4,25,2,Group,Complex,7,4,2,3,10
134.2.7.5,134,2,Group,Complex,7,5,3,2,6
134.2.7.5,134,2,Group,Complex,7,5,3,3,4
9.2.7.6,9,2,Group,Complex,7,6,3,1,3
9.2.7.6,9,2,Group,Complex,7,6,3,3,3
50.1.8.1,50,1,Group,Simple,8,1,2,1,2
50.1.8.1,50,1,Group,Simple,8,1,2,3,2
112.1.8.2,112,1,Group,Simple,8,2,4,2,4
112.1.8.2,112,1,Group,Simple,8,2,4,3,4
147.1.8.4,147,1,Group,Simple,8,4,3,2,4
147.1.8.4,147,1,Group,Simple,8,4,3,3,3
79.1.8.5,79,1,Group,Simple,8,5,2,1,4
79.1.8.5,79,1,Group,Simple,8,5,2,2,5
66.1.8.6,66,1,Group,Simple,8,6,3,1,6
66.1.8.6,66,1,Group,Simple,8,6,3,2,5
136.4.9.1,136,4,Pair,Complex,9,1,1,2,14
136.4.9.1,136,4,Pair,Complex,9,1,1,3,12
23.4.9.2,23,4,Pair,Complex,9,2,2,1,15
23.4.9.2,23,4,Pair,Complex,9,2,2,3,16
58.4.9.5,58,4,Pair,Complex,9,5,2,1,15
58.4.9.5,58,4,Pair,Complex,9,5,2,2,19
17.4.9.6,17,4,Pair,Complex,9,6,2,1,14
17.4.9.6,17,4,Pair,Complex,9,6,2,3,14
122.1.10.4,122,1,Group,Simple,10,4,4,2,7
122.1.10.4,122,1,Group,Simple,10,4,4,3,7
33.1.10.5,33,1,Group,Simple,10,5,3,1,7
33.1.10.5,33,1,Group,Simple,10,5,3,3,7
65.2.11.3,65,2,Group,Complex,11,3,3,1,9
65.2.11.3,65,2,Group,Complex,11,3,3,2,9
98.2.11.4,98,2,Group,Complex,11,4,3,1,8
98.2.11.4,98,2,Group,Complex,11,4,3,2,9
71.2.11.5,71,2,Group,Complex,11,5,2,1,7
71.2.11.5,71,2,Group,Complex,11,5,2,2,8
96.2.11.6,96,2,Group,Complex,11,6,3,1,8
96.2.11.6,96,2,Group,Complex,11,6,3,2,10
106.1.12.3,106,1,Group,Simple,12,3,3,2,6
106.1.12.3,106,1,Group,Simple,12,3,3,3,5
77.1.12.4,77,1,Group,Simple,12,4,4,1,6
77.1.12.4,77,1,Group,Simple,12,4,4,2,6
18.1.12.5,18,1,Group,Simple,12,5,3,1,5
18.1.12.5,18,1,Group,Simple,12,5,3,3,5
51.1.12.6,51,1,Group,Simple,12,6,2,1,4
51.1.12.6,51,1,Group,Simple,12,6,2,2,4
80.2.13.1,80,2,Group,Complex,13,1,1,1,8
80.2.13.1,80,2,Group,Complex,13,1,1,2,8
6.2.13.4,6,2,Group,Complex,13,4,3,1,5
6.2.13.4,6,2,Group,Complex,13,4,3,3,4
35.2.13.5,35,2,Group,Complex,13,5,3,1,5
35.2.13.5,35,2,Group,Complex,13,5,3,3,5
107.2.13.6,107,2,Group,Complex,13,6,3,2,8
107.2.13.6,107,2,Group,Complex,13,6,3,3,5
102.1.14.2,102,1,Group,Simple,14,2,2,2,8
102.1.14.2,102,1,Group,Simple,14,2,2,3,8
100.1.14.4,100,1,Group,Simple,14,4,4,1,6
100.1.14.4,100,1,Group,Simple,14,4,4,2,7
85.1.14.5,85,1,Group,Simple,14,5,4,1,6
85.1.14.5,85,1,Group,Simple,14,5,4,2,6
145.2.15.1,145,2,Group,Complex,15,1,2,2,11
145.2.15.1,145,2,Group,Complex,15,1,2,3,11
11.2.15.2,11,2,Group,Complex,15,2,3,1,9
11.2.15.2,11,2,Group,Complex,15,2,3,3,9
121.2.15.3,121,2,Group,Complex,15,3,3,2,9
121.2.15.3,121,2,Group,Complex,15,3,3,3,9
97.2.15.4,97,2,Group,Complex,15,4,3,1,9
97.2.15.4,97,2,Group,Complex,15,4,3,2,9
140.2.15.6,140,2,Group,Complex,15,6,2,2,14
140.2.15.6,140,2,Group,Complex,15,6,2,3,11
67.1.16.2,67,1,Group,Simple,16,2,3,1,7
67.1.16.2,67,1,Group,Simple,16,2,3,2,8
53.1.16.5,53,1,Group,Simple,16,5,3,1,7
53.1.16.5,53,1,Group,Simple,16,5,3,2,8
109.1.16.6,109,1,Group,Simple,16,6,2,2,4
109.1.16.6,109,1,Group,Simple,16,6,2,3,5
26.4.17.1,26,4,Pair,Complex,17,1,1,1,9
26.4.17.1,26,4,Pair,Complex,17,1,1,3,9
149.4.17.2,149,4,Pair,Complex,17,2,2,2,4
149.4.17.2,149,4,Pair,Complex,17,2,2,3,4
